rank,number,background,body,hat,accessory,score
218,274,21.149,30.121,33.133,32.065,116.468
219,162,17.75,32.065,26.865,39.76,116.44
220,329,21.149,32.065,32.065,31.062,116.341
221,860,22.089,31.062,32.065,31.062,116.278
222,21,22.089,41.417,30.121,22.591,116.218
223,363,19.49,35.5,30.121,31.062,116.173
224,97,19.115,39.76,26.158,31.062,116.095
225,972,17.75,30.121,28.4,39.76,116.031
226,792,23.667,30.121,30.121,32.065,115.974
227,403,21.149,35.5,33.133,26.158,115.94
228,960,17.138,24.244,33.133,41.417,115.932
229,991,23.667,24.85,33.133,34.276,115.926
230,373,19.49,30.121,33.133,33.133,115.877
231,416,19.115,38.231,29.235,29.235,115.816
232,383,20.286,29.235,33.133,33.133,115.787
233,166,19.115,29.235,34.276,33.133,115.759
234,413,19.49,31.062,33.133,32.065,115.75
235,57,20.286,30.121,34.276,31.062,115.745
236,436,19.115,39.76,29.235,27.611,115.721
237,371,18.407,25.487,32.065,39.76,115.719
238,300,19.49,30.121,26.158,39.76,115.529
239,652,23.667,27.611,33.133,31.062,115.473
240,932,17.75,30.121,26.158,41.417,115.446
241,219,19.49,38.231,28.4,29.235,115.356
242,14,23.667,24.244,34.276,33.133,115.32
243,758,20.286,38.231,28.4,28.4,115.317
244,673,18.407,29.235,26.158,41.417,115.217
245,331,19.115,32.065,41.417,22.591,115.188
246,623,19.49,31.062,24.85,39.76,115.162
247,478,18.755,30.121,33.133,33.133,115.142
248,95,18.755,30.121,33.133,33.133,115.142
249,880,20.708,35.5,26.865,32.065,115.138
250,705,19.115,28.4,26.158,41.417,115.09
251,73,22.089,27.611,34.276,31.062,115.038
252,575,20.708,30.121,31.062,33.133,115.024
253,473,24.244,35.5,26.865,28.4,115.009
254,100,19.49,32.065,23.667,39.76,114.982
255,77,19.49,36.815,27.611,31.062,114.978
256,185,18.755,23.667,34.276,38.231,114.929
257,104,23.667,38.231,26.865,26.158,114.921
258,94,20.708,32.065,31.062,31.062,114.897
259,483,17.75,22.591,41.417,33.133,114.891
260,269,19.49,32.065,33.133,30.121,114.809
261,951,18.407,24.85,30.121,41.417,114.795
262,514,23.667,29.235,34.276,27.611,114.789
263,962,17.75,41.417,30.121,25.487,114.775
264,648,19.49,31.062,33.133,31.062,114.747
265,297,20.708,36.815,31.062,26.158,114.743
266,330,17.138,38.231,30.121,29.235,114.725
267,764,19.49,30.121,26.865,38.231,114.707
268,840,20.708,27.611,32.065,34.276,114.66
269,81,19.49,29.235,26.158,39.76,114.643
270,198,19.49,38.231,24.85,32.065,114.636
271,495,19.115,35.5,26.865,33.133,114.613
272,368,22.089,35.5,26.865,30.121,114.575
273,244,17.138,35.5,23.667,38.231,114.536
274,675,19.49,36.815,26.158,32.065,114.528
275,352,18.755,35.5,30.121,30.121,114.497
276,78,18.407,39.76,24.244,32.065,114.476
277,685,20.286,35.5,27.611,31.062,114.459
278,946,19.115,32.065,33.133,30.121,114.434
279,6,20.286,35.5,33.133,25.487,114.406
280,706,23.667,32.065,27.611,31.062,114.405
281,494,21.149,30.121,32.065,31.062,114.397
282,147,21.149,30.121,31.062,32.065,114.397
283,969,19.49,35.5,29.235,30.121,114.346
284,292,17.75,36.815,34.276,25.487,114.328
285,720,18.407,39.76,26.865,29.235,114.267
286,405,18.755,29.235,33.133,33.133,114.256
287,303,23.667,23.667,25.487,41.417,114.238
288,11,23.667,33.133,34.276,23.116,114.192
289,210,18.407,24.244,30.121,41.417,114.189
290,508,24.244,36.815,25.487,27.611,114.157
291,690,19.49,33.133,33.133,28.4,114.156
292,967,22.089,36.815,27.611,27.611,114.126
293,596,17.138,38.231,27.611,31.062,114.042
294,223,18.755,35.5,34.276,25.487,114.018
295,180,20.708,32.065,26.865,34.276,113.914
296,855,18.407,35.5,26.865,33.133,113.905
297,375,22.089,33.133,27.611,31.062,113.895
298,415,19.49,30.121,33.133,31.062,113.806
299,28,18.755,33.133,23.667,38.231,113.786
300,966,22.089,28.4,30.121,33.133,113.743
301,787,22.089,30.121,33.133,28.4,113.743
302,321,17.138,41.417,32.065,23.116,113.736
303,173,20.286,29.235,33.133,31.062,113.716
304,871,22.089,29.235,29.235,33.133,113.692
305,293,23.667,27.611,29.235,33.133,113.646
306,365,23.667,29.235,33.133,27.611,113.646
307,870,19.115,25.487,27.611,41.417,113.63
308,993,19.49,22.591,30.121,41.417,113.619
309,311,20.286,30.121,31.062,32.065,113.534
310,676,19.49,36.815,26.158,31.062,113.525
311,90,22.089,29.235,30.121,32.065,113.51
312,585,20.708,38.231,28.4,26.158,113.497
313,356,19.115,32.065,32.065,30.121,113.366
314,743,23.667,25.487,33.133,31.062,113.349
315,839,19.49,31.062,34.276,28.4,113.228
316,236,18.755,35.5,26.865,32.065,113.185
317,121,18.407,36.815,26.865,31.062,113.149
318,270,19.49,30.121,34.276,29.235,113.122
319,466,23.667,30.121,33.133,26.158,113.079
320,712,20.708,32.065,29.235,31.062,113.07
321,169,19.115,32.065,34.276,27.611,113.067
322,476,17.75,36.815,29.235,29.235,113.035
323,817,18.755,32.065,30.121,32.065,113.006
324,709,19.49,35.5,23.667,34.276,112.933
325,452,21.149,32.065,32.065,27.611,112.89
326,679,19.49,32.065,29.235,32.065,112.855
327,434,19.115,31.062,28.4,34.276,112.853
328,809,17.75,41.417,31.062,22.591,112.82
329,821,21.149,30.121,33.133,28.4,112.803
330,118,20.286,32.065,34.276,26.158,112.785
331,111,20.286,29.235,33.133,30.121,112.775
332,249,19.115,28.4,25.487,39.76,112.762
333,284,17.138,24.244,33.133,38.231,112.746
334,200,24.244,24.244,33.133,31.062,112.683
335,342,19.115,33.133,34.276,26.158,112.682
336,531,23.667,31.062,26.865,31.062,112.656
337,545,19.115,35.5,24.85,33.133,112.598
338,484,19.49,30.121,36.815,26.158,112.584
339,99,23.667,28.4,32.065,28.4,112.532
340,742,23.667,22.591,33.133,33.133,112.524
341,782,17.138,39.76,30.121,25.487,112.506
342,633,20.708,24.85,36.815,30.121,112.494
343,444,22.089,32.065,32.065,26.158,112.377
344,844,19.115,30.121,32.065,31.062,112.363
345,538,19.115,30.121,32.065,31.062,112.363
346,901,24.244,32.065,27.611,28.4,112.32
347,762,20.286,30.121,23.667,38.231,112.305
348,900,20.286,30.121,34.276,27.611,112.294
349,757,23.667,29.235,29.235,30.121,112.258
350,164,17.138,22.591,34.276,38.231,112.236
351,875,19.115,30.121,36.815,26.158,112.209
352,697,23.667,33.133,26.158,29.235,112.193
353,845,17.75,32.065,33.133,29.235,112.183
354,420,24.244,22.591,34.276,31.062,112.173
355,530,17.75,39.76,32.065,22.591,112.166
356,424,24.244,29.235,25.487,33.133,112.099
357,867,20.286,35.5,24.244,32.065,112.095
358,23,20.286,27.611,33.133,31.062,112.092
359,580,17.75,41.417,23.667,29.235,112.069
360,214,23.667,35.5,23.667,29.235,112.069
361,829,17.75,30.121,33.133,31.062,112.066
362,347,24.244,32.065,23.667,32.065,112.041
363,942,20.286,32.065,27.611,32.065,112.027
364,145,21.149,38.231,24.244,28.4,112.024
365,411,19.49,32.065,32.065,28.4,112.02
366,159,19.115,34.276,33.133,25.487,112.011
367,696,20.708,23.667,41.417,26.158,111.95
368,535,20.286,30.121,33.133,28.4,111.94
369,322,22.089,36.815,26.865,26.158,111.927
370,682,22.089,30.121,27.611,32.065,111.886
371,941,19.115,34.276,29.235,29.235,111.861
372,170,23.667,25.487,34.276,28.4,111.83
373,56,20.286,28.4,31.062,32.065,111.813
374,586,19.115,23.667,27.611,41.417,111.81
375,725,19.115,29.235,23.667,39.76,111.777
376,518,22.089,29.235,26.158,34.276,111.758
377,116,22.089,34.276,29.235,26.158,111.758
378,876,23.667,34.276,23.667,30.121,111.731
379,461,23.667,27.611,34.276,26.158,111.712
380,674,21.149,30.121,26.158,34.276,111.704
381,595,22.089,30.121,28.4,31.062,111.672
382,277,19.115,32.065,32.065,28.4,111.645
383,874,24.244,32.065,24.244,31.062,111.615
384,279,19.115,29.235,30.121,33.133,111.604
385,783,18.407,31.062,31.062,31.062,111.593
386,360,24.244,30.121,26.158,31.062,111.585
387,453,24.244,32.065,26.865,28.4,111.574
388,894,17.138,39.76,32.065,22.591,111.554
389,884,23.667,30.121,27.611,30.121,111.52
390,643,23.667,30.121,30.121,27.611,111.52
391,846,20.286,35.5,33.133,22.591,111.51
392,467,23.667,35.5,26.158,26.158,111.483
393,525,23.667,25.487,36.815,25.487,111.456
394,963,19.115,30.121,30.121,32.065,111.422
395,659,19.115,30.121,30.121,32.065,111.422
396,248,19.49,29.235,34.276,28.4,111.401
397,176,23.667,32.065,30.121,25.487,111.34
398,599,19.49,24.244,41.417,26.158,111.309
399,446,17.75,38.231,24.244,31.062,111.287
400,895,18.407,39.76,27.611,25.487,111.265
401,645,20.708,29.235,29.235,32.065,111.243
402,814,19.115,39.76,26.158,26.158,111.191
403,83,21.149,23.667,34.276,32.065,111.157
404,398,20.286,30.121,33.133,27.611,111.151
405,109,19.49,28.4,30.121,33.133,111.144
406,856,23.667,29.235,32.065,26.158,111.125
407,574,17.75,29.235,32.065,32.065,111.115
408,805,20.286,35.5,24.244,31.062,111.092
409,504,19.115,28.4,29.235,34.276,111.026
410,785,18.755,31.062,30.121,31.062,111
411,734,22.089,27.611,32.065,29.235,111
412,247,17.75,32.065,30.121,31.062,110.998
413,791,17.75,24.244,29.235,39.76,110.989
414,22,19.49,22.591,36.815,32.065,110.961
415,644,19.115,27.611,33.133,31.062,110.921
416,510,18.407,30.121,29.235,33.133,110.896
417,710,22.089,27.611,30.121,31.062,110.883
418,32,21.149,29.235,34.276,26.158,110.818
419,31,18.407,41.417,28.4,22.591,110.815
420,700,23.667,30.121,26.865,30.121,110.774
421,534,23.667,28.4,27.611,31.062,110.74
422,637,21.149,28.4,30.121,31.062,110.732
423,87,21.149,30.121,31.062,28.4,110.732
424,781,22.089,30.121,30.121,28.4,110.731
425,693,22.089,30.121,30.121,28.4,110.731
426,760,17.75,35.5,34.276,23.116,110.642
427,812,19.115,32.065,28.4,31.062,110.642
428,858,19.115,31.062,32.065,28.4,110.642
429,603,23.667,24.85,31.062,31.062,110.641
430,459,19.115,35.5,27.611,28.4,110.626
431,842,19.49,29.235,23.667,38.231,110.623
432,917,22.089,29.235,33.133,26.158,110.615
433,310,19.49,24.85,33.133,33.133,110.606
434,800,21.149,30.121,33.133,26.158,110.561
435,275,17.75,32.065,27.611,33.133,110.559
436,945,17.75,30.121,28.4,34.276,110.547
437,916,17.138,24.85,34.276,34.276,110.54
438,567,23.667,28.4,29.235,29.235,110.537
439,84,19.115,29.235,30.121,32.065,110.536
440,956,22.089,22.591,27.611,38.231,110.522
441,591,23.667,32.065,23.667,31.062,110.461
442,520,20.708,31.062,27.611,31.062,110.443
443,177,18.755,33.133,30.121,28.4,110.409
444,980,21.149,24.85,30.121,34.276,110.396
445,20,17.138,32.065,30.121,31.062,110.386
446,818,19.49,35.5,29.235,26.158,110.383
447,448,19.49,39.76,24.85,26.158,110.258
448,489,17.75,34.276,32.065,26.158,110.249
449,756,23.667,32.065,26.865,27.611,110.208
450,908,18.755,30.121,32.065,29.235,110.176
451,774,19.115,33.133,26.865,31.062,110.175
452,911,20.286,25.487,30.121,34.276,110.17
453,609,22.089,34.276,27.611,26.158,110.134
454,438,19.49,36.815,27.611,26.158,110.074
455,258,18.755,30.121,31.062,30.121,110.059
456,925,19.49,30.121,34.276,26.158,110.045
457,419,19.49,30.121,26.158,34.276,110.045
458,914,19.115,30.121,27.611,33.133,109.98
459,990,19.49,30.121,31.062,29.235,109.908
460,634,19.49,29.235,30.121,31.062,109.908
461,189,19.49,30.121,29.235,31.062,109.908
462,318,20.286,32.065,32.065,25.487,109.903
463,664,18.755,34.276,34.276,22.591,109.898
464,105,19.115,32.065,27.611,31.062,109.853
465,638,22.089,29.235,30.121,28.4,109.845
466,409,20.286,34.276,26.865,28.4,109.827
467,589,23.667,24.85,29.235,32.065,109.817
468,958,19.49,24.244,36.815,29.235,109.784
469,789,22.089,28.4,26.158,33.133,109.78
470,798,19.49,32.065,32.065,26.158,109.778
471,677,19.49,32.065,32.065,26.158,109.778
472,115,19.49,32.065,26.158,32.065,109.778
473,67,23.667,28.4,29.235,28.4,109.702
474,994,19.115,27.611,36.815,26.158,109.699
475,143,20.286,30.121,33.133,26.158,109.698
476,13,20.286,30.121,33.133,26.158,109.698
477,550,20.286,35.5,28.4,25.487,109.673
478,683,22.089,36.815,27.611,23.116,109.631
479,578,19.115,24.244,33.133,33.133,109.625
480,721,17.138,39.76,30.121,22.591,109.61
481,455,19.49,32.065,24.85,33.133,109.538
482,298,18.755,29.235,33.133,28.4,109.523
483,831,21.149,30.121,26.158,32.065,109.493
484,151,19.115,34.276,26.865,29.235,109.491
485,692,22.089,38.231,23.667,25.487,109.474
486,140,21.149,31.062,26.158,31.062,109.431
487,668,17.75,30.121,28.4,33.133,109.404
488,667,19.115,34.276,28.4,27.611,109.402
489,209,17.75,29.235,33.133,29.235,109.353
490,86,23.667,22.591,24.85,38.231,109.339
491,549,23.667,31.062,26.158,28.4,109.287
492,902,17.75,32.065,28.4,31.062,109.277
493,42,17.138,35.5,31.062,25.487,109.187
494,472,17.75,29.235,30.121,32.065,109.171
495,506,19.49,29.235,34.276,26.158,109.159
496,878,20.286,22.591,33.133,33.133,109.143
497,598,19.115,32.065,26.865,31.062,109.107
498,2,23.667,24.244,30.121,31.062,109.094
499,986,18.407,32.065,33.133,25.487,109.092
500,571,19.49,30.121,28.4,31.062,109.073
501,730,19.49,24.244,31.062,34.276,109.072
502,195,20.286,25.487,30.121,33.133,109.027
503,75,22.089,30.121,23.667,33.133,109.01
504,107,23.667,29.235,26.865,29.235,109.002
505,577,18.407,30.121,34.276,26.158,108.962
506,695,17.138,27.611,33.133,31.062,108.944
507,98,18.407,29.235,29.235,32.065,108.942
508,913,19.49,24.244,33.133,32.065,108.932
509,572,20.286,22.591,36.815,29.235,108.927
510,752,23.667,28.4,27.611,29.235,108.913
511,471,19.115,30.121,27.611,32.065,108.912
512,427,19.115,30.121,27.611,32.065,108.912
513,890,20.286,32.065,25.487,31.062,108.9
514,172,22.089,29.235,32.065,25.487,108.876
515,501,19.115,36.815,23.667,29.235,108.832
516,468,20.286,29.235,33.133,26.158,108.812
517,35,22.089,22.591,32.065,32.065,108.81
518,43,19.115,29.235,34.276,26.158,108.784
519,135,23.667,32.065,26.865,26.158,108.755
520,687,19.49,24.85,26.158,38.231,108.729
521,750,19.115,39.76,23.667,26.158,108.7
522,653,19.115,31.062,30.121,28.4,108.698
523,361,21.149,30.121,34.276,23.116,108.662
524,836,19.49,27.611,28.4,33.133,108.634
525,445,20.286,30.121,26.158,32.065,108.63
526,431,19.115,24.244,33.133,32.065,108.557
527,192,19.115,24.244,33.133,32.065,108.557
528,949,22.089,29.235,31.062,26.158,108.544
529,314,19.49,30.121,26.865,32.065,108.541
530,232,19.49,33.133,24.85,31.062,108.535
531,374,20.708,35.5,26.158,26.158,108.524
532,863,22.089,30.121,24.244,32.065,108.519
533,886,23.667,30.121,23.667,31.062,108.517
534,882,23.667,23.667,30.121,31.062,108.517
535,213,20.708,29.235,30.121,28.4,108.464
536,422,20.286,29.235,26.865,32.065,108.451
537,822,19.49,23.667,36.815,28.4,108.372
538,224,17.138,35.5,23.667,32.065,108.37
539,540,24.244,22.591,28.4,33.133,108.368
540,735,19.115,29.235,26.865,33.133,108.348
541,443,17.75,24.244,34.276,32.065,108.335
542,920,19.49,34.276,28.4,26.158,108.324
543,55,22.089,30.121,26.865,29.235,108.31
544,989,17.75,30.121,34.276,26.158,108.305
545,245,17.75,30.121,34.276,26.158,108.305
546,215,19.49,30.121,27.611,31.062,108.284
547,522,17.138,24.85,33.133,33.133,108.254
548,289,22.089,33.133,26.865,26.158,108.245
549,155,18.407,36.815,26.865,26.158,108.245
550,968,22.089,29.235,24.85,32.065,108.239
551,474,20.286,29.235,27.611,31.062,108.194
552,205,18.755,33.133,30.121,26.158,108.167
553,605,18.755,35.5,28.4,25.487,108.142
554,283,20.286,29.235,33.133,25.487,108.141
555,660,21.149,30.121,34.276,22.591,108.137
556,475,19.49,22.591,36.815,29.235,108.131
557,280,19.115,31.062,23.667,34.276,108.12
558,729,17.75,30.121,30.121,30.121,108.113
559,564,17.75,30.121,30.121,30.121,108.113
560,27,20.286,32.065,23.667,32.065,108.083
561,539,19.49,30.121,29.235,29.235,108.081
562,362,19.49,29.235,30.121,29.235,108.081
563,899,18.407,29.235,34.276,26.158,108.076
564,955,23.667,32.065,26.158,26.158,108.048
565,442,17.75,34.276,27.611,28.4,108.037
566,163,19.115,29.235,32.065,27.611,108.026
567,711,19.49,29.235,33.133,26.158,108.016
568,701,19.115,30.121,27.611,31.062,107.909
569,977,20.286,35.5,23.667,28.4,107.853
570,502,19.49,32.065,30.121,26.158,107.834
571,66,17.75,30.121,36.815,23.116,107.802
572,647,24.244,24.244,33.133,26.158,107.779
573,802,19.115,30.121,30.121,28.4,107.757
574,678,20.286,24.244,31.062,32.065,107.657
575,430,19.49,29.235,26.865,32.065,107.655
576,866,19.115,29.235,26.158,33.133,107.641
577,376,19.115,29.235,26.158,33.133,107.641
578,505,23.667,29.235,25.487,29.235,107.624
579,747,24.244,22.591,27.611,33.133,107.579
580,625,20.708,29.235,28.4,29.235,107.578
581,891,23.667,30.121,27.611,26.158,107.557
582,208,19.49,23.667,30.121,34.276,107.554
583,193,19.49,23.667,26.158,38.231,107.546
584,144,19.49,32.065,24.85,31.062,107.467
585,92,23.667,29.235,26.158,28.4,107.46
586,995,19.115,30.121,32.065,26.158,107.459
587,499,19.115,32.065,30.121,26.158,107.459
588,480,19.115,32.065,30.121,26.158,107.459
589,835,20.286,29.235,26.865,31.062,107.448
590,708,22.089,35.5,23.667,26.158,107.414
591,267,22.089,32.065,30.121,23.116,107.391
592,268,24.244,25.487,28.4,29.235,107.366
593,263,20.286,31.062,27.611,28.4,107.359
594,868,17.75,28.4,30.121,31.062,107.333
595,391,20.708,32.065,26.158,28.4,107.331
596,136,18.755,24.244,33.133,31.062,107.194
597,218,19.49,28.4,33.133,26.158,107.181
598,978,19.49,41.417,23.667,22.591,107.165
599,959,17.75,30.121,33.133,26.158,107.162
600,784,20.708,30.121,30.121,26.158,107.108
