rank,number,background,body,hat,accessory,score
864,726,20.286,25.487,26.158,28.4,100.331
865,593,22.089,23.667,26.158,28.4,100.314
866,156,19.49,24.244,31.062,25.487,100.283
867,740,23.667,29.235,24.244,23.116,100.262
868,885,19.115,30.121,28.4,22.591,100.227
869,702,17.138,24.85,32.065,26.158,100.211
870,556,19.115,30.121,25.487,25.487,100.21
871,157,18.755,28.4,26.865,26.158,100.178
872,850,20.708,24.244,27.611,27.611,100.174
873,276,20.286,24.244,30.121,25.487,100.138
874,663,22.089,24.85,27.611,25.487,100.037
875,513,19.49,24.244,30.121,26.158,100.013
876,456,18.755,32.065,23.667,25.487,99.974
877,113,19.49,30.121,24.85,25.487,99.948
878,386,17.75,27.611,28.4,26.158,99.919
879,879,17.138,24.244,30.121,28.4,99.903
880,887,21.149,25.487,26.865,26.158,99.659
881,918,18.755,31.062,23.667,26.158,99.642
882,827,19.115,30.121,24.244,26.158,99.638
883,529,19.49,22.591,32.065,25.487,99.633
884,129,18.407,25.487,33.133,22.591,99.618
885,825,17.138,29.235,30.121,23.116,99.61
886,602,17.138,30.121,26.158,26.158,99.575
887,912,18.755,24.244,25.487,31.062,99.548
888,834,18.407,30.121,28.4,22.591,99.519
889,813,18.407,30.121,28.4,22.591,99.519
890,804,17.75,30.121,25.487,26.158,99.516
891,541,17.75,30.121,26.158,25.487,99.516
892,537,17.75,30.121,25.487,26.158,99.516
893,832,19.49,24.244,33.133,22.591,99.458
894,746,19.115,27.611,30.121,22.591,99.438
895,566,17.138,29.235,26.865,26.158,99.396
896,399,19.115,24.244,28.4,27.611,99.37
897,370,18.407,27.611,24.85,28.4,99.268
898,72,19.49,23.667,26.865,29.235,99.257
899,588,22.089,24.244,23.667,29.235,99.235
900,561,20.286,23.667,32.065,23.116,99.134
901,305,19.49,29.235,24.85,25.487,99.062
902,58,17.75,29.235,23.667,28.4,99.052
903,953,19.49,25.487,25.487,28.4,98.864
904,490,22.089,27.611,23.667,25.487,98.854
905,557,23.667,28.4,23.667,23.116,98.85
906,749,19.115,30.121,26.865,22.591,98.692
907,63,20.286,23.667,29.235,25.487,98.675
908,184,17.138,27.611,28.4,25.487,98.636
909,562,19.49,29.235,23.667,26.158,98.55
910,546,19.49,29.235,23.667,26.158,98.55
911,910,19.115,28.4,24.85,26.158,98.523
912,327,19.115,24.85,28.4,26.158,98.523
913,439,19.115,30.121,26.158,23.116,98.51
914,883,24.244,24.244,26.865,23.116,98.469
915,367,19.115,27.611,25.487,26.158,98.371
916,294,18.407,30.121,23.667,26.158,98.353
917,256,19.49,23.667,32.065,23.116,98.338
918,357,17.75,23.667,24.85,32.065,98.332
919,110,20.286,27.611,24.244,26.158,98.299
920,658,17.75,27.611,23.667,29.235,98.263
921,547,18.755,22.591,27.611,29.235,98.192
922,594,20.708,24.244,25.487,27.611,98.05
923,654,21.149,24.244,24.244,28.4,98.037
924,563,18.755,30.121,23.667,25.487,98.03
925,533,18.755,30.121,23.667,25.487,98.03
926,326,18.755,30.121,23.667,25.487,98.03
927,250,17.138,30.121,27.611,23.116,97.986
928,765,19.49,23.667,23.667,31.062,97.886
929,797,17.75,24.85,26.865,28.4,97.865
930,462,19.115,24.85,28.4,25.487,97.852
931,497,20.286,30.121,24.85,22.591,97.848
932,254,20.286,30.121,24.85,22.591,97.848
933,719,19.49,22.591,33.133,22.591,97.805
934,320,20.286,30.121,24.244,23.116,97.767
935,733,17.75,22.591,34.276,23.116,97.733
936,703,18.407,30.121,23.667,25.487,97.682
937,823,17.138,22.591,26.865,31.062,97.656
938,406,18.755,30.121,26.158,22.591,97.625
939,88,20.286,29.235,25.487,22.591,97.599
940,262,19.49,30.121,24.85,23.116,97.577
941,973,19.49,24.244,27.611,26.158,97.503
942,407,20.286,22.591,28.4,26.158,97.435
943,816,17.75,24.244,26.158,29.235,97.387
944,423,18.407,25.487,24.85,28.4,97.144
945,388,18.407,24.85,28.4,25.487,97.144
946,40,17.138,30.121,23.667,26.158,97.084
947,30,17.138,30.121,23.667,26.158,97.084
948,146,19.49,27.611,26.865,23.116,97.082
949,935,17.75,30.121,23.667,25.487,97.025
950,632,21.149,22.591,30.121,23.116,96.977
951,982,17.75,29.235,26.865,23.116,96.966
952,341,19.115,28.4,23.667,25.487,96.669
953,112,17.75,24.244,32.065,22.591,96.65
954,103,17.138,23.667,23.667,32.065,96.537
955,519,17.138,30.121,26.158,23.116,96.533
956,936,17.75,25.487,24.85,28.4,96.487
957,691,20.286,23.667,26.158,26.158,96.269
958,543,17.75,25.487,26.865,26.158,96.26
959,597,17.75,24.85,24.244,29.235,96.079
960,893,19.49,24.244,26.158,26.158,96.05
961,131,19.115,27.611,26.158,23.116,96
962,581,19.49,22.591,28.4,25.487,95.968
963,801,18.755,25.487,25.487,26.158,95.887
964,587,17.75,25.487,24.244,28.4,95.881
965,924,19.115,23.667,26.865,26.158,95.805
966,296,21.149,24.244,24.244,26.158,95.795
967,313,20.286,25.487,23.667,26.158,95.598
968,641,19.49,29.235,24.244,22.591,95.56
969,417,19.49,24.85,24.85,26.158,95.348
